"decade","genre","platform","num_games","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
2000,"Fighting","XB","42","8.69","2.35","0.36","0.35","11.78"
2000,"Racing","PS","34","5.95","4.81","0.02","0.79","11.56"
2000,"Trivia/Board Game","DS","33","4.59","3.10","2.64","1.00","11.33"
2000,"Strategy","PC","102","2.35","7.79","0","1.08","11.30"
2000,"Strategy","DS","62","6.31","1.78","1.84","0.77","10.74"
2000,"Puzzle","GBA","40","5.63","1.93","2.59","0.20","10.45"
2000,"Trivia/Board Game","PS2","22","2.17","3.59","1.76","2.70","10.22"
2000,"Shooter","PC","70","2.63","6.31","0.08","0.70","9.81"
2000,"Role-Playing","Wii","24","4.60","1.41","3.16","0.59","9.75"
2000,"Platform","XB","48","6.48","2.67","0.01","0.34","9.53"
2000,"Party/Minigames","GC","12","5.06","1.20","2.71","0.26","9.21"
2000,"Shooter","PS","19","5.76","2.86","0.02","0.49","9.08"
2000,"Action","N64","12","6.29","1.78","0.82","0.13","9.02"
2000,"Platform","PS","19","4.53","3.36","0.36","0.53","8.75"
2000,"Simulation","GC","11","5.37","1.74","1.16","0.29","8.53"
2000,"Fitness","DS","9","2.33","3.00","2.50","0.63","8.48"
2000,"Strategy","GBA","20","4.71","1.50","1.93","0.17","8.30"
2000,"Sports","N64","18","5.14","1.19","1.69","0.22","8.26"
2000,"Card Game/Casino","PS2","46","2.64","1.18","3.49","0.57","7.89"
2000,"Strategy","X360","18","4.86","1.89","0.08","0.66","7.49"
2000,"Compilation","XB","19","5.55","1.56","0","0.27","7.41"
2000,"Adventure","X360","13","4.16","2.21","0.23","0.69","7.29"
2000,"Strategy","PSP","34","2.34","2.02","1.64","1.10","7.13"
2000,"Shooter","DS","35","5.45","0.43","0.34","0.46","6.78"
2000,"Simulation","PSP","28","1.82","2.94","0.72","1.23","6.72"
2000,"Simulation","GBA","21","4.07","1.59","0.74","0.17","6.54"
2000,"Adventure","PS3","12","2.45","2.17","0.71","0.92","6.25"
2000,"Puzzle","PS2","19","2.96","2.02","0.45","0.75","6.14"
2000,"Platform","X360","13","2.97","2.43","0.02","0.64","6.09"
2000,"Adventure","GC","21","3.90","1.28","0.67","0.18","6.03"
2000,"Simulation","X360","18","3.07","1.66","0.67","0.52","5.96"
2000,"Simulation","XB","22","4.51","1.18","0.03","0.17","5.90"
2000,"Misc","PS2","7","1.65","2.63","0.28","0.99","5.54"
2000,"Card Game/Casino","GBA","18","3.63","1.34","0.47","0.10","5.52"
2000,"Puzzle","PSP","43","2.77","1.26","0.53","0.82","5.44"
2000,"Fighting","DS","27","1.89","0.15","3.19","0.14","5.37"
2000,"Adventure","PS","19","2.01","2.20","0.58","0.33","5.16"
2000,"Fighting","PS","14","1.43","1.97","1.28","0.34","5.01"
2000,"Platform","GB","5","2.15","1.23","1.06","0.36","4.81"
2000,"Platform","N64","9","2.45","0.76","1.37","0.18","4.77"
2000,"Puzzle","GC","13","2.95","0.89","0.73","0.12","4.70"
2000,"Adventure","PSP","49","1.53","0.89","1.62","0.55","4.61"
2000,"Compilation","GC","11","3.42","0.97","0.05","0.12","4.57"
2000,"Strategy","GC","12","2.30","0.64","1.35","0.10","4.43"
2000,"Action","PC","55","0.23","3.56","0","0.46","4.40"
2000,"Simulation","PS3","10","1.96","1.46","0.38","0.53","4.33"
2000,"Action","GB","3","1.86","1.15","0.58","0.13","3.72"
2000,"Sports","PC","18","0.01","3.44","0","0.22","3.68"
2000,"Compilation","DS","13","2.36","0.01","1.09","0.18","3.66"
2000,"Fighting","GBA","20","2.53","0.93","0.06","0.05","3.60"
2000,"Shooter","GBA","40","2.35","0.87","0.32","0.02","3.60"
2000,"Party/Minigames","PS","2","1.56","1.47","0.34","0.18","3.55"
2000,"Strategy","Wii","15","1.73","0.51","1.05","0.18","3.46"
2000,"Shooter","N64","4","2.01","0.87","0.29","0.06","3.24"
2000,"Adventure","XB","26","2.22","0.73","0","0.07","3.06"
2000,"Party/Minigames","PS2","14","1.60","0.96","0.03","0.38","2.96"
2000,"Strategy","N64","3","1.21","0.40","1.13","0.23","2.96"
2000,"Compilation","PSP","13","2.21","0.21","0.08","0.31","2.83"
2000,"Trivia/Board Game","PS3","6","0.91","1.40","0","0.46","2.78"
2000,"Sports","GB","3","1.4","0.56","0.70","0.11","2.76"
2000,"Racing","N64","10","1.86","0.43","0.43","0.02","2.74"
2000,"Strategy","XB","20","1.95","0.58","0","0.08","2.65"
2000,"Rhythm/Music","GC","7","1.52","0.42","0.51","0.07","2.54"
