"decade","genre","platform","genre_na_sales","genre_eu_sales","genre_jp_sales","genre_other_sales","genre_global_sales","pct_na_sales","pct_eu_sales","pct_jp_sales","pct_other_sales","pct_global_sales"
1990,"Party/Minigames","N64","2.72","0.72","1.95","0.06","5.44","2.32","2.06","7.51","1.80","3.00"
1990,"Puzzle","N64","1.31","0.38","0.54","0.06","2.30","1.12","1.09","2.08","1.80","1.27"
1990,"Compilation","N64","1.24","0.17","0.03","0.01","1.45","1.06","0.49","0.12","0.30","0.80"
1990,"Trivia/Board Game","N64","0.91","0.21","0.28","0.04","1.44","0.78","0.60","1.08","1.20","0.79"
1990,"Role-Playing","N64","0.54","0.12","0.34","0.05","1.05","0.46","0.34","1.31","1.50","0.58"
1990,"Adventure","N64","0.23","0.05","0.17","0","0.45","0.20","0.14","0.65","0.00","0.25"
1990,"Educational","N64","0.29","0.08","0","0","0.37","0.25","0.23","0.00","0.00","0.20"
1990,"Card Game/Casino","N64","0.07","0.02","0.09","0","0.18","0.06","0.06","0.35","0.00","0.10"
1990,"Puzzle","NES","4.51","0.95","3.74","0.25","9.46","38.58","35.32","29.47","53.19","34.34"
1990,"Platform","NES","3.33","0.61","2.34","0.07","6.35","28.49","22.68","18.44","14.89","23.05"
1990,"Role-Playing","NES","0.08","0","4.53","0.02","4.63","0.68","0.00","35.70","4.26","16.81"
1990,"Action","NES","3.04","0.52","0.36","0.06","3.98","26.01","19.33","2.84","12.77","14.45"
1990,"Sports","NES","0.69","0.6","1.70","0.07","3.06","5.90","22.30","13.40","14.89","11.11"
1990,"Fighting","NES","0.04","0.01","0.02","0","0.07","0.34","0.37","0.16","0.00","0.25"
1990,"Strategy","PC","9.87","5.08","0","0.53","15.48","33.61","26.77","0.00","34.87","30.97"
1990,"Shooter","PC","7.19","2.17","0.09","0.25","9.71","24.48","11.43","100.00","16.45","19.43"
1990,"Simulation","PC","4.42","2.53","0","0.3","7.26","15.05","13.33","0.00","19.74","14.53"
1990,"Adventure","PC","1.55","4.39","0","0.1","6.04","5.28","23.13","0.00","6.58","12.08"
1990,"Action","PC","2.87","1.41","0","0.14","4.42","9.77","7.43","0.00","9.21","8.84"
1990,"Trivia/Board Game","PC","3.44","0.81","0","0.1","4.35","11.71","4.27","0.00","6.58","8.70"
